,C,Kernel,p,q,Accuracy,False negative rate,False positive rate,sum
113,1.0,linear,11,4,0.8085106382978723,0.11079545454545454,0.3515625,0.46235795454545453
243,2.0,sigmoid,3,8,0.8439716312056738,0.1640625,0.29829545454545453,0.46235795454545453
356,5.0,sigmoid,13,2,0.8581560283687943,0.1512784090909091,0.3125,0.46377840909090906
299,5.0,linear,7,8,0.7872340425531915,0.13849431818181818,0.3259943181818182,0.46448863636363635
47,0.1,rbf,13,8,0.7872340425531915,0.33948863636363635,0.125,0.46448863636363635
252,2.0,sigmoid,9,2,0.8333333333333334,0.15269886363636365,0.3125,0.46519886363636365
263,2.0,sigmoid,13,8,0.8617021276595744,0.13920454545454544,0.3259943181818182,0.46519886363636365
108,1.0,linear,9,2,0.8226950354609929,0.12642045454545456,0.3387784090909091,0.46519886363636365
44,0.1,rbf,13,2,0.8546099290780141,0.19105113636363635,0.2741477272727273,0.46519886363636365
359,5.0,sigmoid,13,8,0.8404255319148937,0.14772727272727273,0.3174715909090909,0.46519886363636365
257,2.0,sigmoid,11,4,0.8971631205673759,0.1512784090909091,0.3146306818181818,0.46590909090909094
114,1.0,linear,11,6,0.7907801418439716,0.11221590909090909,0.3536931818181818,0.46590909090909094
311,5.0,linear,13,8,0.75177304964539,0.12642045454545456,0.3409090909090909,0.4673295454545454
303,5.0,linear,9,8,0.7836879432624113,0.13636363636363635,0.3309659090909091,0.46732954545454547
64,0.1,sigmoid,11,2,0.8900709219858156,0.15625,0.3117897727272727,0.4680397727272727
32,0.1,rbf,7,2,0.7836879432624113,0.3359375,0.13210227272727273,0.4680397727272727
71,0.1,sigmoid,13,8,0.875886524822695,0.1377840909090909,0.3309659090909091,0.46875
111,1.0,linear,9,8,0.8014184397163121,0.13707386363636365,0.3330965909090909,0.47017045454545453
34,0.1,rbf,7,6,0.7730496453900709,0.3210227272727273,0.14914772727272727,0.4701704545454546
116,1.0,linear,13,2,0.8439716312056738,0.09161931818181818,0.3799715909090909,0.47159090909090906
38,0.1,rbf,9,6,0.8226950354609929,0.1768465909090909,0.2947443181818182,0.47159090909090906
33,0.1,rbf,7,4,0.7943262411347518,0.27485795454545453,0.19744318181818182,0.47230113636363635
306,5.0,linear,11,6,0.7943262411347518,0.11647727272727272,0.35582386363636365,0.47230113636363635
210,2.0,linear,11,6,0.7907801418439716,0.13494318181818182,0.3380681818181818,0.47301136363636365
300,5.0,linear,9,2,0.8085106382978723,0.1278409090909091,0.34517045454545453,0.47301136363636365
117,1.0,linear,13,4,0.8226950354609929,0.09943181818181818,0.37357954545454547,0.47301136363636365
208,2.0,linear,11,2,0.8333333333333334,0.10440340909090909,0.3700284090909091,0.47443181818181823
241,2.0,sigmoid,3,4,0.7978723404255319,0.1924715909090909,0.28267045454545453,0.4751420454545454
248,2.0,sigmoid,7,2,0.8156028368794326,0.16477272727272727,0.3103693181818182,0.4751420454545454
349,5.0,sigmoid,9,4,0.7943262411347518,0.1875,0.28764204545454547,0.47514204545454547
305,5.0,linear,11,4,0.8226950354609929,0.11860795454545454,0.35795454545454547,0.4765625
337,5.0,sigmoid,3,4,0.8191489361702128,0.18821022727272727,0.2883522727272727,0.4765625
358,5.0,sigmoid,13,6,0.8687943262411347,0.15056818181818182,0.32670454545454547,0.4772727272727273
164,1.0,sigmoid,13,2,0.8794326241134752,0.12073863636363637,0.3572443181818182,0.47798295454545453
67,0.1,sigmoid,11,8,0.8297872340425532,0.14701704545454544,0.3309659090909091,0.4779829545454546
46,0.1,rbf,13,6,0.8333333333333334,0.17826704545454544,0.2997159090909091,0.4779829545454546
70,0.1,sigmoid,13,6,0.851063829787234,0.13849431818181818,0.34019886363636365,0.4786931818181818
41,0.1,rbf,11,4,0.851063829787234,0.14985795454545456,0.32954545454545453,0.47940340909090906
206,2.0,linear,9,6,0.7943262411347518,0.12713068181818182,0.3522727272727273,0.4794034090909091
351,5.0,sigmoid,9,8,0.8333333333333334,0.1640625,0.31605113636363635,0.48011363636363635
19,0.1,linear,11,8,0.851063829787234,0.10866477272727272,0.3721590909090909,0.4808238636363636
29,0.1,rbf,5,4,0.776595744680851,0.34019886363636365,0.14204545454545456,0.48224431818181823
341,5.0,sigmoid,5,4,0.8226950354609929,0.17258522727272727,0.3117897727272727,0.484375
23,0.1,linear,13,8,0.8368794326241135,0.1015625,0.3828125,0.484375
203,2.0,linear,7,8,0.7836879432624113,0.12855113636363635,0.3572443181818182,0.48579545454545453
354,5.0,sigmoid,11,6,0.8191489361702128,0.16761363636363635,0.31889204545454547,0.4865056818181818
215,2.0,linear,13,8,0.7624113475177305,0.11647727272727272,0.37073863636363635,0.48721590909090906
261,2.0,sigmoid,13,4,0.8404255319148937,0.13707386363636365,0.3522727272727273,0.48934659090909094
258,2.0,sigmoid,11,6,0.8297872340425532,0.14133522727272727,0.3487215909090909,0.4900568181818181
307,5.0,linear,11,8,0.8156028368794326,0.12002840909090909,0.3700284090909091,0.49005681818181823
353,5.0,sigmoid,11,4,0.8404255319148937,0.1484375,0.3430397727272727,0.4914772727272727
40,0.1,rbf,11,2,0.851063829787234,0.16832386363636365,0.3231534090909091,0.49147727272727276
357,5.0,sigmoid,13,4,0.8687943262411347,0.140625,0.3515625,0.4921875
348,5.0,sigmoid,9,2,0.8297872340425532,0.1747159090909091,0.3181818181818182,0.4928977272727273
345,5.0,sigmoid,7,4,0.8085106382978723,0.18394886363636365,0.30894886363636365,0.4928977272727273
352,5.0,sigmoid,11,2,0.851063829787234,0.15767045454545456,0.3359375,0.4936079545454546
308,5.0,linear,13,2,0.8439716312056738,0.10795454545454546,0.38636363636363635,0.4943181818181818
344,5.0,sigmoid,7,2,0.7943262411347518,0.20738636363636365,0.2890625,0.49644886363636365
39,0.1,rbf,9,8,0.7978723404255319,0.13920454545454544,0.3586647727272727,0.4978693181818181
309,5.0,linear,13,4,0.8014184397163121,0.08948863636363637,0.4083806818181818,0.4978693181818182
346,5.0,sigmoid,7,6,0.7659574468085106,0.20454545454545456,0.2940340909090909,0.4985795454545454
48,0.1,sigmoid,3,2,0.8226950354609929,0.3039772727272727,0.19886363636363635,0.5028409090909091
347,5.0,sigmoid,7,8,0.8085106382978723,0.1825284090909091,0.3203125,0.5028409090909091
69,0.1,sigmoid,13,4,0.8971631205673759,0.13636363636363635,0.3664772727272727,0.5028409090909091
343,5.0,sigmoid,5,8,0.8049645390070922,0.20738636363636365,0.29545454545454547,0.5028409090909092
211,2.0,linear,11,8,0.776595744680851,0.1328125,0.37144886363636365,0.5042613636363636
68,0.1,sigmoid,13,2,0.8829787234042553,0.13423295454545456,0.3700284090909091,0.5042613636363636
256,2.0,sigmoid,11,2,0.8794326241134752,0.14417613636363635,0.3600852272727273,0.5042613636363636
27,0.1,rbf,3,8,0.7659574468085106,0.34019886363636365,0.16761363636363635,0.5078125
339,5.0,sigmoid,3,8,0.7943262411347518,0.2059659090909091,0.3046875,0.5106534090909091
355,5.0,sigmoid,11,8,0.875886524822695,0.15056818181818182,0.3600852272727273,0.5106534090909092
214,2.0,linear,13,6,0.7730496453900709,0.10795454545454546,0.40767045454545453,0.515625
119,1.0,linear,13,8,0.7659574468085106,0.14488636363636365,0.3778409090909091,0.5227272727272727
260,2.0,sigmoid,13,2,0.8829787234042553,0.13636363636363635,0.38920454545454547,0.5255681818181819
336,5.0,sigmoid,3,2,0.8404255319148937,0.19744318181818182,0.3494318181818182,0.546875
72,0.1,poly,3,2,0.7127659574468085,0.5284090909090909,0.045454545454545456,0.5738636363636364
35,0.1,rbf,7,8,0.7872340425531915,0.0625,0.5774147727272727,0.6399147727272727
89,0.1,poly,11,4,0.5673758865248227,0.6867897727272727,0.02556818181818182,0.7123579545454545
90,0.1,poly,11,6,0.5673758865248227,0.7009943181818182,0.026278409090909092,0.7272727272727273
43,0.1,rbf,11,8,0.75177304964539,0.044744318181818184,0.6882102272727273,0.7329545454545455
45,0.1,rbf,13,4,0.8049645390070922,0.04261363636363636,0.7514204545454546,0.7940340909090909
31,0.1,rbf,5,8,0.6808510638297872,0.017045454545454544,0.8373579545454546,0.8544034090909092
88,0.1,poly,11,2,0.5319148936170213,0.9829545454545454,0.002130681818181818,0.9850852272727272
80,0.1,poly,7,2,0.5319148936170213,0.0,0.9900568181818182,0.9900568181818182
73,0.1,poly,3,4,0.48226950354609927,0.0,0.9985795454545454,0.9985795454545454
77,0.1,poly,5,4,0.5886524822695035,0.0,0.9985795454545454,0.9985795454545454
85,0.1,poly,9,4,0.5354609929078015,0.0,0.9992897727272727,0.9992897727272727
86,0.1,poly,9,6,0.5177304964539007,0.0,1.0,1.0
82,0.1,poly,7,6,0.5425531914893617,0.0,1.0,1.0
83,0.1,poly,7,8,0.475177304964539,0.0,1.0,1.0
84,0.1,poly,9,2,0.4432624113475177,0.0,1.0,1.0
95,0.1,poly,13,8,0.5141843971631206,0.0,1.0,1.0
75,0.1,poly,3,8,0.5141843971631206,0.0,1.0,1.0
93,0.1,poly,13,4,0.4645390070921986,0.0,1.0,1.0
81,0.1,poly,7,4,0.524822695035461,0.0,1.0,1.0
92,0.1,poly,13,2,0.524822695035461,0.0,1.0,1.0
79,0.1,poly,5,8,0.5,0.0,1.0,1.0
91,0.1,poly,11,8,0.45390070921985815,0.0,1.0,1.0
78,0.1,poly,5,6,0.4929078014184397,0.0,1.0,1.0
87,0.1,poly,9,8,0.49645390070921985,0.0,1.0,1.0
94,0.1,poly,13,6,0.5283687943262412,0.0,1.0,1.0
74,0.1,poly,3,6,0.5319148936170213,0.0,1.0,1.0
