,C,Kernel,p,q,Accuracy,False negative rate,False positive rate,sum
220,2.0,rbf,5,2,0.8191489361702128,0.08735795454545454,0.2528409090909091,0.34019886363636365
364,5.0,poly,5,2,0.8049645390070922,0.10795454545454546,0.23295454545454544,0.3409090909090909
225,2.0,rbf,7,4,0.8581560283687943,0.09161931818181818,0.24928977272727273,0.34090909090909094
375,5.0,poly,9,8,0.8262411347517731,0.11931818181818182,0.2215909090909091,0.34090909090909094
216,2.0,rbf,3,2,0.851063829787234,0.10653409090909091,0.23508522727272727,0.3416193181818182
334,5.0,rbf,13,6,0.8936170212765957,0.07528409090909091,0.26704545454545453,0.3423295454545454
229,2.0,rbf,9,4,0.8368794326241135,0.11292613636363637,0.2294034090909091,0.34232954545454547
365,5.0,poly,5,4,0.7907801418439716,0.13849431818181818,0.20454545454545456,0.3430397727272727
273,2.0,poly,7,4,0.8297872340425532,0.11505681818181818,0.22798295454545456,0.3430397727272727
379,5.0,poly,11,8,0.8439716312056738,0.10298295454545454,0.24005681818181818,0.3430397727272727
361,5.0,poly,3,4,0.8226950354609929,0.1377840909090909,0.2059659090909091,0.34375
371,5.0,poly,7,8,0.8368794326241135,0.1512784090909091,0.1924715909090909,0.34375
268,2.0,poly,5,2,0.8085106382978723,0.14772727272727273,0.19602272727272727,0.34375
278,2.0,poly,9,6,0.8723404255319149,0.11505681818181818,0.22869318181818182,0.34375
286,2.0,poly,13,6,0.8439716312056738,0.13920454545454544,0.20525568181818182,0.3444602272727273
233,2.0,rbf,11,4,0.8971631205673759,0.08664772727272728,0.25923295454545453,0.3458806818181818
377,5.0,poly,11,4,0.7978723404255319,0.11008522727272728,0.23579545454545456,0.3458806818181818
322,5.0,rbf,7,6,0.8226950354609929,0.10014204545454546,0.24644886363636365,0.3465909090909091
239,2.0,rbf,13,8,0.8439716312056738,0.08380681818181818,0.26420454545454547,0.34801136363636365
182,1.0,poly,9,6,0.8262411347517731,0.13636363636363635,0.21235795454545456,0.34872159090909094
189,1.0,poly,13,4,0.8865248226950354,0.12144886363636363,0.22798295454545456,0.3494318181818182
218,2.0,rbf,3,6,0.8120567375886525,0.09730113636363637,0.2521306818181818,0.3494318181818182
171,1.0,poly,3,8,0.8226950354609929,0.12642045454545456,0.2237215909090909,0.35014204545454547
122,1.0,rbf,3,6,0.8439716312056738,0.12357954545454546,0.22727272727272727,0.3508522727272727
230,2.0,rbf,9,6,0.8120567375886525,0.0859375,0.265625,0.3515625
223,2.0,rbf,5,8,0.8333333333333334,0.12144886363636363,0.23082386363636365,0.3522727272727273
121,1.0,rbf,3,4,0.8404255319148937,0.11292613636363637,0.2393465909090909,0.3522727272727273
270,2.0,poly,5,6,0.7801418439716312,0.1356534090909091,0.21661931818181818,0.3522727272727273
360,5.0,poly,3,2,0.7943262411347518,0.14417613636363635,0.20880681818181818,0.35298295454545453
134,1.0,rbf,9,6,0.8546099290780141,0.10014204545454546,0.2528409090909091,0.3529829545454546
180,1.0,poly,9,2,0.8333333333333334,0.11434659090909091,0.2393465909090909,0.3536931818181818
328,5.0,rbf,11,2,0.8936170212765957,0.07244318181818182,0.28125,0.3536931818181818
138,1.0,rbf,11,6,0.8971631205673759,0.09303977272727272,0.26136363636363635,0.35440340909090906
318,5.0,rbf,5,6,0.7978723404255319,0.09019886363636363,0.26420454545454547,0.3544034090909091
280,2.0,poly,11,2,0.8404255319148937,0.11221590909090909,0.24289772727272727,0.35511363636363635
217,2.0,rbf,3,4,0.8652482269503546,0.10724431818181818,0.24786931818181818,0.35511363636363635
281,2.0,poly,11,4,0.8581560283687943,0.12002840909090909,0.23579545454545456,0.35582386363636365
287,2.0,poly,13,8,0.8439716312056738,0.09517045454545454,0.26136363636363635,0.3565340909090909
184,1.0,poly,11,2,0.875886524822695,0.11221590909090909,0.24431818181818182,0.35653409090909094
313,5.0,rbf,3,4,0.851063829787234,0.10511363636363637,0.2521306818181818,0.3572443181818182
130,1.0,rbf,7,6,0.8368794326241135,0.109375,0.24786931818181818,0.3572443181818182
362,5.0,poly,3,6,0.8439716312056738,0.11008522727272728,0.2471590909090909,0.3572443181818182
374,5.0,poly,9,6,0.8262411347517731,0.10511363636363637,0.2521306818181818,0.3572443181818182
277,2.0,poly,9,4,0.8404255319148937,0.09517045454545454,0.2627840909090909,0.3579545454545454
124,1.0,rbf,5,2,0.7978723404255319,0.15269886363636365,0.20525568181818182,0.35795454545454547
265,2.0,poly,3,4,0.7872340425531915,0.12357954545454546,0.234375,0.35795454545454547
320,5.0,rbf,7,2,0.8049645390070922,0.10653409090909091,0.2521306818181818,0.3586647727272727
232,2.0,rbf,11,2,0.8936170212765957,0.09588068181818182,0.2634943181818182,0.359375
139,1.0,rbf,11,8,0.8617021276595744,0.09730113636363637,0.2627840909090909,0.36008522727272724
133,1.0,rbf,9,4,0.851063829787234,0.09943181818181818,0.2606534090909091,0.3600852272727273
283,2.0,poly,11,8,0.8794326241134752,0.09375,0.2663352272727273,0.3600852272727273
126,1.0,rbf,5,6,0.851063829787234,0.12002840909090909,0.24076704545454544,0.36079545454545453
181,1.0,poly,9,4,0.8333333333333334,0.13210227272727273,0.23011363636363635,0.36221590909090906
