C_in,C_pos,kernel_in,kernel_pos,n,accuracy_in,accuracy_pos
0.1,2.0,sigmoid,linear,12,0.6950354609929078,0.29069767441860467
0.1,2.0,sigmoid,linear,17,0.7198581560283688,0.45185185185185184
0.1,2.0,sigmoid,rbf,7,0.8581560283687943,0.4
0.1,2.0,sigmoid,rbf,12,0.7588652482269503,0.5294117647058824
0.1,2.0,sigmoid,rbf,17,0.6773049645390071,0.34959349593495936
0.1,2.0,sigmoid,sigmoid,7,0.8617021276595744,0.5384615384615384
0.1,2.0,sigmoid,sigmoid,12,0.7092198581560284,0.4024390243902439
0.1,2.0,sigmoid,sigmoid,17,0.6950354609929078,0.36764705882352944
0.1,2.0,sigmoid,poly,7,0.8723404255319149,0.3333333333333333
0.1,2.0,sigmoid,poly,12,0.7269503546099291,0.2597402597402597
0.1,2.0,sigmoid,poly,17,0.7127659574468085,0.2125984251968504
0.1,2.0,poly,linear,7,0.8156028368794326,0.4423076923076923
0.1,2.0,poly,linear,12,0.7056737588652482,0.3614457831325301
0.1,2.0,poly,linear,17,0.5177304964539007,0.34558823529411764
0.1,2.0,poly,rbf,7,0.8687943262411347,0.35135135135135137
0.1,2.0,poly,rbf,12,0.6879432624113475,0.5
0.1,2.0,poly,rbf,17,0.5354609929078015,0.4122137404580153
0.1,2.0,poly,sigmoid,7,0.8617021276595744,0.3333333333333333
0.1,2.0,poly,sigmoid,12,0.723404255319149,0.41025641025641024
0.1,2.0,poly,sigmoid,17,0.5673758865248227,0.36885245901639346
0.1,2.0,poly,poly,7,0.8475177304964538,0.3488372093023256
0.1,2.0,poly,poly,12,0.7269503546099291,0.19480519480519481
0.1,2.0,poly,poly,17,0.549645390070922,0.1732283464566929
1.0,0.1,linear,linear,7,0.8546099290780141,0.42105263157894735
1.0,0.1,linear,linear,12,0.7269503546099291,0.38461538461538464
1.0,0.1,linear,linear,17,0.6985815602836879,0.4097222222222222
1.0,0.1,linear,rbf,7,0.8120567375886525,0.11538461538461539
1.0,0.1,linear,rbf,12,0.7446808510638298,0.1282051282051282
1.0,0.1,linear,rbf,17,0.6702127659574468,0.047619047619047616
1.0,0.1,linear,sigmoid,7,0.8156028368794326,0.15384615384615385
1.0,0.1,linear,sigmoid,12,0.723404255319149,0.02247191011235955
1.0,0.1,linear,sigmoid,17,0.6631205673758865,0.023255813953488372
1.0,0.1,linear,poly,7,0.8794326241134752,0.15789473684210525
