,C,Kernel,p,q,Accuracy,False negative rate,False positive rate
75,0.1,poly,3,8,0.5141843971631206,0.0,1.0
76,0.1,poly,5,2,0.8049645390070922,0.2762784090909091,0.14772727272727273
77,0.1,poly,5,4,0.5886524822695035,0.0,0.9985795454545454
78,0.1,poly,5,6,0.4929078014184397,0.0,1.0
79,0.1,poly,5,8,0.5,0.0,1.0
80,0.1,poly,7,2,0.5319148936170213,0.0,0.9900568181818182
81,0.1,poly,7,4,0.524822695035461,0.0,1.0
82,0.1,poly,7,6,0.5425531914893617,0.0,1.0
83,0.1,poly,7,8,0.475177304964539,0.0,1.0
84,0.1,poly,9,2,0.4432624113475177,0.0,1.0
85,0.1,poly,9,4,0.5354609929078015,0.0,0.9992897727272727
86,0.1,poly,9,6,0.5177304964539007,0.0,1.0
87,0.1,poly,9,8,0.49645390070921985,0.0,1.0
88,0.1,poly,11,2,0.5319148936170213,0.9829545454545454,0.002130681818181818
89,0.1,poly,11,4,0.5673758865248227,0.6867897727272727,0.02556818181818182
90,0.1,poly,11,6,0.5673758865248227,0.7009943181818182,0.026278409090909092
91,0.1,poly,11,8,0.45390070921985815,0.0,1.0
92,0.1,poly,13,2,0.524822695035461,0.0,1.0
93,0.1,poly,13,4,0.4645390070921986,0.0,1.0
94,0.1,poly,13,6,0.5283687943262412,0.0,1.0
95,0.1,poly,13,8,0.5141843971631206,0.0,1.0
96,1.0,linear,3,2,0.8191489361702128,0.17116477272727273,0.2450284090909091
97,1.0,linear,3,4,0.8368794326241135,0.1512784090909091,0.2961647727272727
98,1.0,linear,3,6,0.8333333333333334,0.13636363636363635,0.25923295454545453
99,1.0,linear,3,8,0.7978723404255319,0.14914772727272727,0.30113636363636365
100,1.0,linear,5,2,0.8439716312056738,0.1590909090909091,0.24928977272727273
101,1.0,linear,5,4,0.8333333333333334,0.16051136363636365,0.24289772727272727
102,1.0,linear,5,6,0.8049645390070922,0.15198863636363635,0.26207386363636365
103,1.0,linear,5,8,0.8475177304964538,0.1512784090909091,0.3046875
104,1.0,linear,7,2,0.7978723404255319,0.14133522727272727,0.2705965909090909
105,1.0,linear,7,4,0.7907801418439716,0.1356534090909091,0.26704545454545453
106,1.0,linear,7,6,0.7730496453900709,0.12642045454545456,0.3053977272727273
107,1.0,linear,7,8,0.8085106382978723,0.1299715909090909,0.31107954545454547
108,1.0,linear,9,2,0.8226950354609929,0.12642045454545456,0.3387784090909091
109,1.0,linear,9,4,0.8723404255319149,0.11576704545454546,0.3309659090909091
110,1.0,linear,9,6,0.8049645390070922,0.11292613636363637,0.2990056818181818
111,1.0,linear,9,8,0.8014184397163121,0.13707386363636365,0.3330965909090909
112,1.0,linear,11,2,0.8049645390070922,0.13210227272727273,0.28480113636363635
113,1.0,linear,11,4,0.8085106382978723,0.11079545454545454,0.3515625
114,1.0,linear,11,6,0.7907801418439716,0.11221590909090909,0.3536931818181818
115,1.0,linear,11,8,0.8226950354609929,0.10511363636363637,0.3465909090909091
116,1.0,linear,13,2,0.8439716312056738,0.09161931818181818,0.3799715909090909
117,1.0,linear,13,4,0.8226950354609929,0.09943181818181818,0.37357954545454547
118,1.0,linear,13,6,0.8085106382978723,0.11860795454545454,0.33238636363636365
119,1.0,linear,13,8,0.7659574468085106,0.14488636363636365,0.3778409090909091
120,1.0,rbf,3,2,0.8226950354609929,0.15056818181818182,0.23295454545454544
121,1.0,rbf,3,4,0.8404255319148937,0.11292613636363637,0.2393465909090909
122,1.0,rbf,3,6,0.8439716312056738,0.12357954545454546,0.22727272727272727
123,1.0,rbf,3,8,0.8297872340425532,0.10227272727272728,0.27769886363636365
124,1.0,rbf,5,2,0.7978723404255319,0.15269886363636365,0.20525568181818182
125,1.0,rbf,5,4,0.8439716312056738,0.11576704545454546,0.21946022727272727
126,1.0,rbf,5,6,0.851063829787234,0.12002840909090909,0.24076704545454544
127,1.0,rbf,5,8,0.8368794326241135,0.09090909090909091,0.2784090909090909
128,1.0,rbf,7,2,0.8652482269503546,0.11292613636363637,0.2578125
129,1.0,rbf,7,4,0.8581560283687943,0.11789772727272728,0.21875
130,1.0,rbf,7,6,0.8368794326241135,0.109375,0.24786931818181818
131,1.0,rbf,7,8,0.8475177304964538,0.11647727272727272,0.21875
