,C,Kernel,p,q,Accuracy,False negative rate,False positive rate
0,0.1,linear,3,2,0.8333333333333334,0.16264204545454544,0.22869318181818182
1,0.1,linear,3,4,0.8120567375886525,0.14204545454545456,0.2571022727272727
2,0.1,linear,3,6,0.8191489361702128,0.16051136363636365,0.23011363636363635
3,0.1,linear,3,8,0.8297872340425532,0.1534090909090909,0.25355113636363635
4,0.1,linear,5,2,0.8368794326241135,0.16335227272727273,0.1953125
5,0.1,linear,5,4,0.8475177304964538,0.1690340909090909,0.2080965909090909
6,0.1,linear,5,6,0.8475177304964538,0.14772727272727273,0.20880681818181818
7,0.1,linear,5,8,0.8262411347517731,0.16051136363636365,0.23792613636363635
8,0.1,linear,7,2,0.7907801418439716,0.15056818181818182,0.234375
9,0.1,linear,7,4,0.851063829787234,0.15411931818181818,0.23224431818181818
10,0.1,linear,7,6,0.8226950354609929,0.13849431818181818,0.21022727272727273
11,0.1,linear,7,8,0.8333333333333334,0.125,0.2862215909090909
12,0.1,linear,9,2,0.851063829787234,0.13352272727272727,0.2627840909090909
13,0.1,linear,9,4,0.8936170212765957,0.13139204545454544,0.24289772727272727
14,0.1,linear,9,6,0.8404255319148937,0.13494318181818182,0.2734375
15,0.1,linear,9,8,0.851063829787234,0.12144886363636363,0.2634943181818182
16,0.1,linear,11,2,0.8475177304964538,0.11434659090909091,0.30610795454545453
17,0.1,linear,11,4,0.8262411347517731,0.11505681818181818,0.2940340909090909
18,0.1,linear,11,6,0.8652482269503546,0.11789772727272728,0.2578125
19,0.1,linear,11,8,0.8723404255319149,0.12428977272727272,0.26988636363636365
20,0.1,linear,13,2,0.8971631205673759,0.12144886363636363,0.30823863636363635
21,0.1,linear,13,4,0.8971631205673759,0.09730113636363637,0.34232954545454547
22,0.1,linear,13,6,0.8581560283687943,0.109375,0.3387784090909091
23,0.1,linear,13,8,0.8297872340425532,0.10653409090909091,0.3252840909090909
24,0.1,rbf,3,2,0.8226950354609929,0.2990056818181818,0.15980113636363635
25,0.1,rbf,3,4,0.7375886524822695,0.3806818181818182,0.10795454545454546
26,0.1,rbf,3,6,0.7907801418439716,0.24360795454545456,0.21164772727272727
27,0.1,rbf,3,8,0.7801418439716312,0.25639204545454547,0.19957386363636365
28,0.1,rbf,5,2,0.8085106382978723,0.37073863636363635,0.14275568181818182
29,0.1,rbf,5,4,0.7553191489361702,0.3821022727272727,0.10369318181818182
30,0.1,rbf,5,6,0.776595744680851,0.10440340909090909,0.39204545454545453
31,0.1,rbf,5,8,0.8120567375886525,0.19105113636363635,0.24573863636363635
32,0.1,rbf,7,2,0.8156028368794326,0.234375,0.20454545454545456
33,0.1,rbf,7,4,0.7943262411347518,0.15980113636363635,0.26136363636363635
34,0.1,rbf,7,6,0.723404255319149,0.03977272727272727,0.6626420454545454
35,0.1,rbf,7,8,0.851063829787234,0.1747159090909091,0.27485795454545453
36,0.1,rbf,9,2,0.8333333333333334,0.2578125,0.16051136363636365
37,0.1,rbf,9,4,0.875886524822695,0.1796875,0.2471590909090909
38,0.1,rbf,9,6,0.7943262411347518,0.35511363636363635,0.11150568181818182
39,0.1,rbf,9,8,0.8475177304964538,0.16051136363636365,0.31676136363636365
40,0.1,rbf,11,2,0.8829787234042553,0.16051136363636365,0.296875
41,0.1,rbf,11,4,0.8617021276595744,0.17826704545454544,0.265625
42,0.1,rbf,11,6,0.8546099290780141,0.2634943181818182,0.17116477272727273
43,0.1,rbf,11,8,0.8262411347517731,0.12571022727272727,0.3458806818181818
44,0.1,rbf,13,2,0.8049645390070922,0.23579545454545456,0.2471590909090909
45,0.1,rbf,13,4,0.8439716312056738,0.23082386363636365,0.23650568181818182
46,0.1,rbf,13,6,0.8049645390070922,0.06889204545454546,0.609375
47,0.1,rbf,13,8,0.648936170212766,0.011363636363636364,0.9098011363636364
48,0.1,sigmoid,3,2,0.7340425531914894,0.3359375,0.14417613636363635
49,0.1,sigmoid,3,4,0.8226950354609929,0.2315340909090909,0.1875
50,0.1,sigmoid,3,6,0.8156028368794326,0.2421875,0.18181818181818182
51,0.1,sigmoid,3,8,0.8368794326241135,0.1640625,0.24431818181818182
52,0.1,sigmoid,5,2,0.7588652482269503,0.3778409090909091,0.11647727272727272
53,0.1,sigmoid,5,4,0.8156028368794326,0.2528409090909091,0.1669034090909091
54,0.1,sigmoid,5,6,0.8120567375886525,0.21022727272727273,0.19105113636363635
55,0.1,sigmoid,5,8,0.7446808510638298,0.2805397727272727,0.15553977272727273
56,0.1,sigmoid,7,2,0.8333333333333334,0.22443181818181818,0.20099431818181818
57,0.1,sigmoid,7,4,0.8333333333333334,0.22017045454545456,0.18110795454545456
58,0.1,sigmoid,7,6,0.8652482269503546,0.20241477272727273,0.1924715909090909
59,0.1,sigmoid,7,8,0.7978723404255319,0.2791193181818182,0.16477272727272727
60,0.1,sigmoid,9,2,0.8226950354609929,0.20099431818181818,0.2215909090909091
61,0.1,sigmoid,9,4,0.8617021276595744,0.18536931818181818,0.21164772727272727
62,0.1,sigmoid,9,6,0.8475177304964538,0.18536931818181818,0.23508522727272727
63,0.1,sigmoid,9,8,0.8226950354609929,0.23224431818181818,0.20170454545454544
64,0.1,sigmoid,11,2,0.8829787234042553,0.14488636363636365,0.3196022727272727
65,0.1,sigmoid,11,4,0.8687943262411347,0.1534090909090909,0.29048295454545453
66,0.1,sigmoid,11,6,0.8546099290780141,0.1278409090909091,0.3572443181818182
67,0.1,sigmoid,11,8,0.8546099290780141,0.1299715909090909,0.3664772727272727
68,0.1,sigmoid,13,2,0.8687943262411347,0.13068181818181818,0.37144886363636365
69,0.1,sigmoid,13,4,0.8581560283687943,0.13494318181818182,0.36079545454545453
70,0.1,sigmoid,13,6,0.8617021276595744,0.1484375,0.31107954545454547
71,0.1,sigmoid,13,8,0.8687943262411347,0.13352272727272727,0.33238636363636365
72,0.1,poly,3,2,0.7730496453900709,0.3615056818181818,0.0859375
73,0.1,poly,3,4,0.574468085106383,0.7954545454545454,0.005681818181818182
74,0.1,poly,3,6,0.4716312056737589,0.0,0.9992897727272727
75,0.1,poly,3,8,0.475177304964539,0.0,1.0
76,0.1,poly,5,2,0.6312056737588653,0.6313920454545454,0.019176136363636364
77,0.1,poly,5,4,0.45390070921985815,0.0,1.0
78,0.1,poly,5,6,0.5319148936170213,0.0,1.0
79,0.1,poly,5,8,0.46808510638297873,1.0,0.0
80,0.1,poly,7,2,0.5602836879432624,0.0,1.0
81,0.1,poly,7,4,0.4787234042553192,0.9801136363636364,0.0
82,0.1,poly,7,6,0.5602836879432624,0.0,1.0
83,0.1,poly,7,8,0.5354609929078015,0.0,1.0
84,0.1,poly,9,2,0.524822695035461,0.0,0.9971590909090909
85,0.1,poly,9,4,0.599290780141844,0.0,1.0
86,0.1,poly,9,6,0.475177304964539,0.0,1.0
87,0.1,poly,9,8,0.48226950354609927,1.0,0.0
88,0.1,poly,11,2,0.5177304964539007,0.0,1.0
89,0.1,poly,11,4,0.5212765957446809,0.0,1.0
90,0.1,poly,11,6,0.5425531914893617,0.0,1.0
91,0.1,poly,11,8,0.5141843971631206,0.0,1.0
92,0.1,poly,13,2,0.5319148936170213,0.0,1.0
93,0.1,poly,13,4,0.5,0.0,1.0
94,0.1,poly,13,6,0.5106382978723404,0.0,1.0
95,0.1,poly,13,8,0.5567375886524822,0.0,1.0
96,1.0,linear,3,2,0.8404255319148937,0.14985795454545456,0.2315340909090909
97,1.0,linear,3,4,0.8297872340425532,0.1669034090909091,0.25
98,1.0,linear,3,6,0.851063829787234,0.1512784090909091,0.26988636363636365
99,1.0,linear,3,8,0.8014184397163121,0.13352272727272727,0.2947443181818182
100,1.0,linear,5,2,0.8085106382978723,0.14914772727272727,0.26207386363636365
101,1.0,linear,5,4,0.8085106382978723,0.14630681818181818,0.27769886363636365
102,1.0,linear,5,6,0.8120567375886525,0.1796875,0.24005681818181818
103,1.0,linear,5,8,0.7872340425531915,0.16051136363636365,0.29332386363636365
104,1.0,linear,7,2,0.8368794326241135,0.15198863636363635,0.23366477272727273
105,1.0,linear,7,4,0.8368794326241135,0.13423295454545456,0.26988636363636365
106,1.0,linear,7,6,0.8226950354609929,0.16477272727272727,0.2521306818181818
107,1.0,linear,7,8,0.8404255319148937,0.12713068181818182,0.2840909090909091
108,1.0,linear,9,2,0.8049645390070922,0.12713068181818182,0.31605113636363635
109,1.0,linear,9,4,0.8014184397163121,0.1328125,0.3877840909090909
110,1.0,linear,9,6,0.776595744680851,0.13352272727272727,0.3096590909090909
111,1.0,linear,9,8,0.8297872340425532,0.12144886363636363,0.3053977272727273
112,1.0,linear,11,2,0.8262411347517731,0.11221590909090909,0.3622159090909091
113,1.0,linear,11,4,0.7907801418439716,0.11292613636363637,0.3465909090909091
114,1.0,linear,11,6,0.8156028368794326,0.1171875,0.3444602272727273
115,1.0,linear,11,8,0.7907801418439716,0.125,0.3302556818181818
116,1.0,linear,13,2,0.8404255319148937,0.13139204545454544,0.29829545454545453
117,1.0,linear,13,4,0.7695035460992907,0.09446022727272728,0.38636363636363635
118,1.0,linear,13,6,0.8191489361702128,0.11221590909090909,0.3600852272727273
119,1.0,linear,13,8,0.8120567375886525,0.11150568181818182,0.37073863636363635
120,1.0,rbf,3,2,0.8404255319148937,0.12286931818181818,0.23650568181818182
121,1.0,rbf,3,4,0.8439716312056738,0.1299715909090909,0.2137784090909091
122,1.0,rbf,3,6,0.8546099290780141,0.10582386363636363,0.25923295454545453
123,1.0,rbf,3,8,0.851063829787234,0.12144886363636363,0.2421875
124,1.0,rbf,5,2,0.8297872340425532,0.14985795454545456,0.18607954545454544
125,1.0,rbf,5,4,0.8581560283687943,0.12144886363636363,0.23650568181818182
126,1.0,rbf,5,6,0.8368794326241135,0.14204545454545456,0.1825284090909091
127,1.0,rbf,5,8,0.8581560283687943,0.09943181818181818,0.2372159090909091
128,1.0,rbf,7,2,0.8581560283687943,0.10866477272727272,0.2578125
129,1.0,rbf,7,4,0.8226950354609929,0.12642045454545456,0.19673295454545456
130,1.0,rbf,7,6,0.8404255319148937,0.12002840909090909,0.18821022727272727
131,1.0,rbf,7,8,0.8368794326241135,0.10511363636363637,0.24360795454545456
132,1.0,rbf,9,2,0.8297872340425532,0.11221590909090909,0.2393465909090909
133,1.0,rbf,9,4,0.851063829787234,0.09019886363636363,0.2833806818181818
134,1.0,rbf,9,6,0.8617021276595744,0.12002840909090909,0.2059659090909091
135,1.0,rbf,9,8,0.8404255319148937,0.11008522727272728,0.21803977272727273
136,1.0,rbf,11,2,0.8581560283687943,0.09730113636363637,0.2897727272727273
137,1.0,rbf,11,4,0.9042553191489362,0.10866477272727272,0.2556818181818182
138,1.0,rbf,11,6,0.8652482269503546,0.09375,0.26917613636363635
139,1.0,rbf,11,8,0.8652482269503546,0.0859375,0.2421875
140,1.0,rbf,13,2,0.8581560283687943,0.07599431818181818,0.3366477272727273
141,1.0,rbf,13,4,0.8723404255319149,0.09659090909090909,0.3153409090909091
142,1.0,rbf,13,6,0.875886524822695,0.09232954545454546,0.29829545454545453
143,1.0,rbf,13,8,0.8865248226950354,0.10085227272727272,0.2883522727272727
